"state","week","prop_infected","prop_infected_lo","prop_infected_hi"
"SD",2020-11-28,0.163849770404089,0.132326188461698,0.226230018771477
"SD",2020-12-05,0.184967290564175,0.151596503230844,0.241372931492434
"SD",2020-12-12,0.204131558258553,0.168709023164402,0.255129562264934
"SD",2020-12-19,0.217977646323148,0.181303801638301,0.26646959330437
"SD",2020-12-26,0.222522456812672,0.186696430858301,0.270040194913034
"SD",2021-01-02,0.236291724774038,0.200545547829542,0.280245406275804
"SD",2021-01-09,0.2464898476416,0.211438081893749,0.289543451677241
"SD",2021-01-16,0.253670157036552,0.21961500895968,0.297311978379159
"SD",2021-01-23,0.259962107111069,0.226489175698263,0.304617934041313
"SD",2021-01-30,0.266325881155311,0.232845553250526,0.312459302594198
"SD",2021-02-06,0.270333618264309,0.238146475649671,0.318732279666117
"SD",2021-02-13,0.274217829800645,0.243088347981422,0.324895575238559
"SD",2021-02-20,0.276691075034629,0.246781006697567,0.330547707133512
"SD",2021-02-27,0.280303139761022,0.251480056394061,0.337472633944113
"SD",2021-03-06,0.284517190416214,0.255288684237882,0.342288235794818
"SD",2021-03-13,0.28803712495015,0.259485396699486,0.34923499396636
"SD",2021-03-20,0.291424278738382,0.262587389730656,0.355717256838155
"SD",2021-03-27,0.295835420152023,0.266418288536073,0.363317369219256
"SD",2021-04-03,0.299030465496765,0.267688557100104,0.36998388950715
"SD",2021-04-10,0.302307082950991,0.269251866553476,0.377369470973991
"SD",2021-04-17,0.306287499470538,0.27080374583979,0.385954435993065
"SD",2021-04-24,0.308379619926729,0.269728770270004,0.393172911461012
"SD",2021-05-01,0.311322008265787,0.2696193271496,0.400785520940135
"SD",2021-05-08,0.313611356838873,0.270043920839109,0.408839949257912
"SD",2021-05-15,0.314856363496901,0.270638701819547,0.415766548510704
"SD",2021-05-22,0.315583118310199,0.271223120354889,0.422446696068246
"SD",2021-05-29,0.316170555509355,0.272068053678328,0.42938661961484
"SD",2021-06-05,0.316387050564491,0.272621646750798,0.436152479849284
"SD",2021-06-12,0.316933483783769,0.272407105043919,0.443900268835996
"SD",2021-06-19,0.316926876045867,0.272349170336277,0.451183925506906
"SD",2021-06-26,0.317048879405472,0.272659161181886,0.458752200495903
"SD",2021-07-03,0.318117923403686,0.27222969734211,0.467629942556685
"SD",2021-07-10,0.318061493789471,0.271333173407742,0.475415436645255
"SD",2021-07-17,0.318231306186452,0.270471336480093,0.483552578716361
"SD",2021-07-24,0.320751506856194,0.278150817801881,0.49401887335025
"SD",2021-07-31,0.32316822962659,0.283223193051879,0.504988694784875
"SD",2021-08-07,0.325479510210944,0.286754322059304,0.515734999407487
"SD",2021-08-14,0.328172090494402,0.288248332937205,0.526973179411436
"SD",2021-08-21,0.332072313230078,0.289337053997748,0.538934164086538
"SD",2021-08-28,0.336944393339256,0.292316632031029,0.551512702093977
"SD",2021-09-04,0.344506048176919,0.297951744383009,0.566382298059773
"SD",2021-09-11,0.351621125993031,0.303263747693821,0.580329664685697
"SD",2021-09-18,0.35919193678127,0.308993346610728,0.593816939694939
"SD",2021-09-25,0.368108267946813,0.315944452930543,0.609372190015309
"SD",2021-10-02,0.376416369603089,0.322236209253537,0.623690016516196
"SD",2021-10-09,0.382459612697489,0.326484606704657,0.634678508716862
"SD",2021-10-16,0.388579973471403,0.33060416672435,0.647082289792694
"SD",2021-10-23,0.394062050986833,0.334055111057231,0.65816555884021
"SD",2021-10-30,0.399919003865335,0.337946794578045,0.669360525168717
"SD",2021-11-06,0.407122998574049,0.342394638993958,0.681931518542545
"SD",2021-11-13,0.413576893828916,0.346983628158517,0.693461842086435
"SD",2021-11-20,0.421717315631064,0.352797513992603,0.706239809694557
"SD",2021-11-27,0.427790148896622,0.356539982928815,0.717708720517101
"SD",2021-12-04,0.435723451580323,0.362239105824631,0.729592454351816
"SD",2021-12-11,0.444523810967765,0.368792276601726,0.741849946353421
"SD",2021-12-18,0.45108802556695,0.373038137821098,0.751912428573491
"SD",2021-12-25,0.456708508104829,0.376929637774526,0.760753610241883
"SD",2022-01-01,0.464985739148989,0.3827736453224,0.771426212850194
"SD",2022-01-08,0.480875895863044,0.396930361975627,0.786010047976456
"SD",2022-01-15,0.504999948956303,0.418949876908177,0.804504139357351
"TN",2020-05-02,0.0257955523216953,0.0178576889859492,0.0815435798710827
"TN",2020-05-09,0.0281073050332292,0.0201605947651246,0.0751309135457357
"TN",2020-05-16,0.0308935575503887,0.022179031262222,0.0753138012384714
"TN",2020-05-23,0.0330015144084808,0.022486918858627,0.075885348936147
"TN",2020-05-30,0.0344847385822749,0.0226469343963421,0.0780287013400465
"TN",2020-06-06,0.036328308653666,0.0229056287939827,0.0842973493862945
"TN",2020-06-13,0.0391899011044573,0.0234396457243863,0.0932023056699541
"TN",2020-06-20,0.0421848032407371,0.0241558065166554,0.102782206419118
"TN",2020-06-27,0.045512447017102,0.0250600254939019,0.112884222318551
"TN",2020-07-04,0.0498776403465005,0.0267204894633429,0.124368909716443
"TN",2020-07-11,0.0554555326008296,0.0292742748764852,0.136138028116231
"TN",2020-07-18,0.0483375258365708,0.0328901035756193,0.0924816789308618
"TN",2020-07-25,0.0494150234055698,0.0364848390646154,0.0852020357385452
"TN",2020-08-01,0.0520360111417091,0.0401930319340934,0.0843575970567895
"TN",2020-08-08,0.0541917119739781,0.0431096467919817,0.0838048156385765
"TN",2020-08-15,0.0563944837629599,0.0457146481982031,0.0846655599374458
"TN",2020-08-22,0.0592967812146662,0.0483163088091156,0.0863319636864863
"TN",2020-08-29,0.0621024369513222,0.0507155045110838,0.0887230533124952
"TN",2020-09-05,0.0646625215992091,0.0530030367141246,0.0907495760420111
"TN",2020-09-12,0.0679262439157416,0.0554560823489524,0.093570506322623
"TN",2020-09-19,0.071837374339831,0.0583137825392933,0.097392153804996
"TN",2020-09-26,0.0753846456449619,0.0609845120536222,0.100532000928599
"TN",2020-10-03,0.0792195680628649,0.0638155947403279,0.103910900306939
"TN",2020-10-10,0.0836803797508183,0.067703077431614,0.107851014151987
"TN",2020-10-17,0.0872612041981091,0.0714307956092518,0.111123680974466
"TN",2020-10-24,0.092558311042807,0.0761578177067429,0.116570801840732
"TN",2020-10-31,0.0983283271420887,0.0812751858503636,0.122187630559974
"TN",2020-11-07,0.102929843240861,0.0854276990780952,0.126610785317956
"TN",2020-11-14,0.110506724000607,0.0928215386089778,0.134634073335572
"TN",2020-11-21,0.120268954228137,0.101464737279969,0.145236126158846
"TN",2020-11-28,0.12846596728917,0.108942530026705,0.153594378349777
"TN",2020-12-05,0.140550804113498,0.119835688048762,0.167291385052678
"TN",2020-12-12,0.154929352504447,0.133756820462834,0.183071950552664
"TN",2020-12-19,0.176737951135038,0.156303433598688,0.20765005717053
"TN",2020-12-26,0.193628346348682,0.174419905466663,0.227337525333782
"TN",2021-01-02,0.208575644411477,0.190946427086559,0.244012211662938
"TN",2021-01-09,0.225832632399227,0.208478025288502,0.260895454360561
"TN",2021-01-16,0.239882640777762,0.223030309595984,0.272611798333245
"TN",2021-01-23,0.253931557292858,0.236987475575204,0.287789526334068
"TN",2021-01-30,0.264145356043109,0.246889615334298,0.293921209635691
"TN",2021-02-06,0.274157043025242,0.256708707256936,0.302708133164642
"TN",2021-02-13,0.278107903487609,0.260693966571363,0.30740439211267
"TN",2021-02-20,0.278499905508841,0.262844417975113,0.310773820822995
